annotation_status,backend,bytes_shipped_p50,cardinality_candidates_p50,cardinality_predicate_matches_p50,cardinality_reached_p50,cardinality_seeds_p50,dataset,hit_at_1,hit_at_5,hops,is_default,k,latency_p50_ms,latency_p95_ms,latency_p99_ms,mrr,plan_id,predicate_placement,query_hop_limit,query_id,recall_at_20,repetitions,round_trips_p50,serialization_fraction_p50,shape,stage_ann_ms_p50,stage_filter_ms_p50,stage_merge_ms_p50,stage_traverse_ms_p50,template,valid_for_system_latency_claims
generated_exact_oracle,tridb_live,0.0,5.0,31.0,,,openevolve,0.0,1.0,5,False,10,0.527378,0.5335664,0.53411648,0.5,traverse_first-e036b666ccda,post,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.01,0.081,0.415378,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,20,0.506333,0.5229794,0.52445908,1.0,traverse_first-e4d7ef105a79,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.006,0.054,0.426829,0.025,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,,openevolve,1.0,1.0,1,False,5,0.481841,0.5453944999999999,0.5510436999999999,1.0,traverse_first-f0fdb2bba196,post,2,oe-000,0.5,3,0.0,0.0,traverse_first,0.002,0.024,0.43984100000000004,0.013,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,,openevolve,1.0,1.0,2,False,10,0.485711,0.5022565999999999,0.50372732,1.0,traverse_first-f9b36ac9da92,during,2,oe-000,1.0,3,0.0,0.0,traverse_first,0.006,0.045,0.421711,0.014,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,5.0,openevolve,0.0,1.0,5,False,5,0.643396,0.6574729,0.65872418,0.5,vector_first-022628fa8c07,during,2,oe-000,0.5,3,0.0,0.0,vector_first,0.092,0.08,0.44339599999999996,0.025,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,31.0,openevolve,1.0,1.0,3,False,31,0.663898,1.1201377,1.16069234,1.0,vector_first-02563f96566e,post,2,oe-000,1.0,3,0.0,0.0,vector_first,0.131,0.049,0.461898,0.022,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,31.0,openevolve,1.0,1.0,2,False,31,0.803432,0.9047611999999999,0.9137682399999999,1.0,vector_first-0d6433b7dd6b,during,2,oe-000,1.0,3,0.0,0.0,vector_first,0.157,0.149,0.475432,0.025,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,3,False,1,0.519484,0.5789245,0.5842081,0.0,vector_first-17479e220710,post,2,oe-000,0.0,3,0.0,0.0,vector_first,0.07,0.0,0.430233,0.024,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,20.0,openevolve,1.0,1.0,3,False,20,0.73873,1.5177196,1.58696312,1.0,vector_first-181f342b270a,post,2,oe-000,1.0,3,0.0,0.0,vector_first,0.117,0.052,0.5467299999999999,0.024,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,3,False,1,0.556243,0.8647881999999999,0.8922144399999999,0.0,vector_first-1af22faa6077,during,2,oe-000,0.0,3,0.0,0.0,vector_first,0.083,0.024,0.42824300000000004,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,10.0,openevolve,1.0,1.0,3,False,10,0.644862,0.8151590999999999,0.8302966199999999,1.0,vector_first-1f98d69fd4bb,during,2,oe-000,1.0,3,0.0,0.0,vector_first,0.091,0.098,0.4368620000000001,0.022,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,20.0,openevolve,1.0,1.0,2,False,20,0.693893,0.7076783,0.70890366,1.0,vector_first-27d19d1f923e,during,2,oe-000,1.0,3,0.0,0.0,vector_first,0.116,0.123,0.43021,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,4.0,31.0,,10.0,openevolve,0.0,1.0,5,False,10,0.602577,0.6270021,0.6291732200000001,0.5,vector_first-3b5ba3173bf9,post,2,oe-000,1.0,3,0.0,0.0,vector_first,0.083,0.06,0.436577,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,10.0,openevolve,1.0,1.0,1,False,10,0.572356,0.5780404,0.57854568,1.0,vector_first-404f84e6a5f4,post,2,oe-000,0.5,3,0.0,0.0,vector_first,0.087,0.021,0.44510800000000006,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,20.0,openevolve,1.0,1.0,1,False,20,0.688593,0.7017771,0.70294902,1.0,vector_first-4c96de282a3c,during,2,oe-000,0.5,3,0.0,0.0,vector_first,0.117,0.122,0.42410000000000003,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,5.0,openevolve,0.0,0.0,1,False,5,0.628907,0.6303038,0.63042796,0.0,vector_first-539cd672e6b6,post,2,oe-000,0.0,3,0.0,0.0,vector_first,0.076,0.0,0.517907,0.015,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,31.0,openevolve,1.0,1.0,3,False,31,0.80333,1.0332134,1.05364748,1.0,vector_first-55a4789c3974,during,2,oe-000,1.0,3,0.0,0.0,vector_first,0.148,0.148,0.47637500000000005,0.031,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,5.0,openevolve,1.0,1.0,2,False,5,0.643124,0.6536828,0.65462136,1.0,vector_first-7462d459aaf5,during,2,oe-000,0.5,3,0.0,0.0,vector_first,0.083,0.076,0.452124,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,4.0,31.0,,20.0,openevolve,0.0,1.0,5,False,20,0.646893,0.6506145000000001,0.6509453000000001,0.5,vector_first-769ad60b254f,post,2,oe-000,1.0,3,0.0,0.0,vector_first,0.12,0.062,0.4408930000000001,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,2,False,1,0.515571,0.5235081,0.52421362,0.0,vector_first-79d7f13154dd,post,2,oe-000,0.0,3,0.0,0.0,vector_first,0.074,0.0,0.42357100000000003,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,3.0,31.0,,20.0,openevolve,1.0,1.0,3,False,20,0.739674,0.9718722,0.99251204,1.0,vector_first-7a75fc9fb9ab,during,2,oe-000,1.0,3,0.0,0.0,vector_first,0.113,0.12,0.43867400000000006,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,31.0,openevolve,1.0,1.0,1,False,31,0.609286,0.6241063,0.62542366,1.0,vector_first-7e723fa35fd9,post,2,oe-000,0.5,3,0.0,0.0,vector_first,0.131,0.022,0.427286,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,5,False,1,0.532219,0.5479258,0.54932196,0.0,vector_first-8549959dfc39,during,2,oe-000,0.0,3,0.0,0.0,vector_first,0.071,0.021,0.423219,0.019,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,2,False,1,0.561261,0.5801754,0.58185668,0.0,vector_first-8735078935c5,during,2,oe-000,0.0,3,0.0,0.0,vector_first,0.082,0.025,0.429261,0.021,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,5.0,openevolve,1.0,1.0,3,False,5,0.605783,0.6210785000000001,0.6224381000000001,1.0,vector_first-8773821ec9c7,during,2,oe-000,0.5,3,0.0,0.0,vector_first,0.08,0.073,0.4370529999999999,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,10.0,openevolve,1.0,1.0,1,False,10,0.677893,0.6874888,0.68834176,1.0,vector_first-879c2f5ec6a7,during,2,oe-000,0.5,3,0.0,0.0,vector_first,0.104,0.103,0.43840100000000004,0.02,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,10.0,openevolve,1.0,1.0,2,False,10,0.660523,0.6718666,0.67287492,1.0,vector_first-9e027ae921ee,during,2,oe-000,1.0,3,0.0,0.0,vector_first,0.1,0.1,0.432834,0.023,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,0.0,31.0,,1.0,openevolve,0.0,0.0,1,False,1,0.595949,0.6126385999999999,0.61412212,0.0,vector_first-9f2a495d4986,during,2,oe-000,0.0,3,0.0,0.0,vector_first,0.079,0.022,0.43393000000000004,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,5.0,openevolve,1.0,1.0,2,False,5,0.532734,0.5397782999999999,0.54040446,1.0,vector_first-a5b8d6da0107,post,2,oe-000,0.5,3,0.0,0.0,vector_first,0.07,0.019,0.42356099999999997,0.017,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,1.0,31.0,,5.0,openevolve,1.0,1.0,3,False,5,0.565016,0.6212002999999999,0.62619446,1.0,vector_first-a6608b0002af,post,2,oe-000,0.5,3,0.0,0.0,vector_first,0.087,0.02,0.44001599999999996,0.018,ancestor_reuse,True
generated_exact_oracle,tridb_live,0.0,2.0,31.0,,10.0,openevolve,1.0,1.0,2,False,10,0.560372,0.5882980999999999,0.59078042,1.0,vector_first-a802c228be07,post,2,oe-000,1.0,3,0.0,0.0,vector_first,0.079,0.034,0.4324009999999999,0.019,ancestor_reuse,True
